ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2024;11;1;Sem Instrução Formal;1;Até 14 Horas;1726,399110704293;4,46185442916052e+02
2024;12;1;Sem Instrução Formal;1;Até 14 Horas;1349,511960553257;2,29774581647842e+02
2024;13;1;Sem Instrução Formal;1;Até 14 Horas;261,968990334877;8,66144593206333e+01
2024;14;1;Sem Instrução Formal;1;Até 14 Horas;329,553165568720;1,78060096381937e+02
2024;15;1;Sem Instrução Formal;1;Até 14 Horas;738,894160057996;1,43880082958564e+02
2024;16;1;Sem Instrução Formal;1;Até 14 Horas;200,000000000000;2,27944250180865e-14
2024;17;1;Sem Instrução Formal;1;Até 14 Horas;741,677186609442;2,68246466837423e+02
2024;21;1;Sem Instrução Formal;1;Até 14 Horas;730,699702343578;1,68288262745034e+02
2024;22;1;Sem Instrução Formal;1;Até 14 Horas;511,920482324879;9,57391691719865e+01
2024;23;1;Sem Instrução Formal;1;Até 14 Horas;493,065613793679;1,49255204986707e+02
2024;24;1;Sem Instrução Formal;1;Até 14 Horas;346,048961453808;9,39330765299083e+01
2024;25;1;Sem Instrução Formal;1;Até 14 Horas;631,427240491600;1,41999892789877e+02
2024;26;1;Sem Instrução Formal;1;Até 14 Horas;382,724643262112;1,47191061279756e+02
2024;27;1;Sem Instrução Formal;1;Até 14 Horas;573,256603734475;9,11361565385566e+01
2024;28;1;Sem Instrução Formal;1;Até 14 Horas;442,090214348647;2,12689599480382e+02
2024;29;1;Sem Instrução Formal;1;Até 14 Horas;600,698111682781;1,79616962638679e+02
2024;31;1;Sem Instrução Formal;1;Até 14 Horas;618,096429827852;1,32426761358969e+02
2024;32;1;Sem Instrução Formal;1;Até 14 Horas;1184,420715048159;5,56002983847194e+02
2024;33;1;Sem Instrução Formal;1;Até 14 Horas;1755,402425104705;9,29115679885123e+02
2024;35;1;Sem Instrução Formal;1;Até 14 Horas;1106,967465943698;2,74810872035900e+02
2024;41;1;Sem Instrução Formal;1;Até 14 Horas;785,935856748089;2,53271566757416e+02
2024;42;1;Sem Instrução Formal;1;Até 14 Horas;1725,561635217869;3,29373130622002e+02
2024;43;1;Sem Instrução Formal;1;Até 14 Horas;1001,213190915158;5,93302836934245e+02
2024;50;1;Sem Instrução Formal;1;Até 14 Horas;1140,228179358135;5,35633958586972e+02
2024;51;1;Sem Instrução Formal;1;Até 14 Horas;1195,633377583189;4,92943925514981e+02
2024;52;1;Sem Instrução Formal;1;Até 14 Horas;1216,713724665285;4,02606676067834e+02
2024;53;1;Sem Instrução Formal;1;Até 14 Horas;1262,458865243699;5,52786550891551e+02
2024;11;2;Ensino Fundamental;1;Até 14 Horas;1120,695368572532;2,39203009457989e+02
2024;12;2;Ensino Fundamental;1;Até 14 Horas;547,850328356768;1,42955810199957e+02
2024;13;2;Ensino Fundamental;1;Até 14 Horas;645,204649082499;1,16294365757275e+02
2024;14;2;Ensino Fundamental;1;Até 14 Horas;692,503551501613;2,03026206032736e+02
2024;15;2;Ensino Fundamental;1;Até 14 Horas;636,904292213654;6,47849356722608e+01
2024;16;2;Ensino Fundamental;1;Até 14 Horas;845,711633056612;3,90350166585756e+02
2024;17;2;Ensino Fundamental;1;Até 14 Horas;908,197902843989;1,44588837495746e+02
2024;21;2;Ensino Fundamental;1;Até 14 Horas;624,784076091065;8,75971268597914e+01
2024;22;2;Ensino Fundamental;1;Até 14 Horas;428,948325008984;4,57954693424061e+01
2024;23;2;Ensino Fundamental;1;Até 14 Horas;577,591457096130;7,17038067740001e+01
2024;24;2;Ensino Fundamental;1;Até 14 Horas;708,702156224647;1,16958712053206e+02
2024;25;2;Ensino Fundamental;1;Até 14 Horas;555,783848779190;5,77343818533363e+01
2024;26;2;Ensino Fundamental;1;Até 14 Horas;605,477036180957;6,31396672538375e+01
2024;27;2;Ensino Fundamental;1;Até 14 Horas;876,293550758159;8,03501180924542e+01
2024;28;2;Ensino Fundamental;1;Até 14 Horas;713,361908244266;1,29636563165336e+02
2024;29;2;Ensino Fundamental;1;Até 14 Horas;765,295648416960;1,56888875335010e+02
2024;31;2;Ensino Fundamental;1;Até 14 Horas;1124,012210686482;8,16772570551179e+01
2024;32;2;Ensino Fundamental;1;Até 14 Horas;1096,823504112951;1,45760482514454e+02
2024;33;2;Ensino Fundamental;1;Até 14 Horas;1054,479328305583;1,74552380568183e+02
2024;35;2;Ensino Fundamental;1;Até 14 Horas;1423,324021575138;2,39748841757840e+02
2024;41;2;Ensino Fundamental;1;Até 14 Horas;1278,265697506598;1,05491774700577e+02
2024;42;2;Ensino Fundamental;1;Até 14 Horas;1734,062270852138;2,41745403841392e+02
2024;43;2;Ensino Fundamental;1;Até 14 Horas;1114,783921258896;7,82206343528936e+01
2024;50;2;Ensino Fundamental;1;Até 14 Horas;1196,581067462368;1,24639355219349e+02
2024;51;2;Ensino Fundamental;1;Até 14 Horas;1657,394178488212;2,13629320906149e+02
2024;52;2;Ensino Fundamental;1;Até 14 Horas;968,085832865352;1,11423738130575e+02
2024;53;2;Ensino Fundamental;1;Até 14 Horas;1264,213816280134;2,43421568965171e+02
2024;11;3;Ensino Fundamental;1;Até 14 Horas;1053,272007397127;3,42783900915047e+02
2024;12;3;Ensino Fundamental;1;Até 14 Horas;1118,439723509664;4,93232446822766e+02
2024;13;3;Ensino Fundamental;1;Até 14 Horas;1013,126631569600;3,28453127057698e+02
2024;14;3;Ensino Fundamental;1;Até 14 Horas;390,850936679861;3,29359673615964e+01
2024;15;3;Ensino Fundamental;1;Até 14 Horas;787,851084761077;1,68904240461017e+02
2024;16;3;Ensino Fundamental;1;Até 14 Horas;613,213508480664;3,48787786284733e+02
2024;17;3;Ensino Fundamental;1;Até 14 Horas;1198,200094113473;2,59614802341958e+02
